UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA
RO;11;00015;Alta Floresta D'Oeste;22516
RO;11;00023;Ariquemes;111148
RO;11;00031;Cabixi;5067
RO;11;00049;Cacoal;86416
RO;11;00056;Cerejeiras;16088
RO;11;00064;Colorado do Oeste;15213
RO;11;00072;Corumbiara;7052
RO;11;00080;Costa Marques;19255
RO;11;00098;Espigão D'Oeste;33009
RO;11;00106;Guajará-Mirim;46930
RO;11;00114;Jaru;51469
RO;11;00122;Ji-Paraná;131026
RO;11;00130;Machadinho D'Oeste;41724
RO;11;00148;Nova Brasilândia D'Oeste;20504
RO;11;00155;Ouro Preto do Oeste;35445
RO;11;00189;Pimenta Bueno;37098
RO;11;00205;Porto Velho;548952
RO;11;00254;Presidente Médici;18165
RO;11;00262;Rio Crespo;3843
RO;11;00288;Rolim de Moura;55748
RO;11;00296;Santa Luzia D'Oeste;5942
RO;11;00304;Vilhena;104517
RO;11;00320;São Miguel do Guaporé;23147
RO;11;00338;Nova Mamoré;32184
RO;11;00346;Alvorada D'Oeste;13807
RO;11;00379;Alto Alegre dos Parecis;13268
RO;11;00403;Alto Paraíso;22258
RO;11;00452;Buritis;41043
RO;11;00502;Novo Horizonte do Oeste;8125
RO;11;00601;Cacaulândia;6307
RO;11;00700;Campo Novo de Rondônia;14391
RO;11;00809;Candeias do Jamari;28068
RO;11;00908;Castanheiras;2923
RO;11;00924;Chupinguaia;11755
RO;11;00940;Cujubim;27131
RO;11;01005;Governador Jorge Teixeira;7130
RO;11;01104;Itapuã do Oeste;10819
RO;11;01203;Ministro Andreazza;9461
RO;11;01302;Mirante da Serra;10691
RO;11;01401;Monte Negro;16158
RO;11;01435;Nova União;6822
RO;11;01450;Parecis;6319
RO;11;01468;Pimenteiras do Oeste;2127
RO;11;01476;Primavera de Rondônia;2697
RO;11;01484;São Felipe D'Oeste;4962
RO;11;01492;São Francisco do Guaporé;21088
RO;11;01500;Seringueiras;11846
RO;11;01559;Teixeirópolis;4160
RO;11;01609;Theobroma;10348
RO;11;01708;Urupá;11081
RO;11;01757;Vale do Anari;11545
RO;11;01807;Vale do Paraíso;6490
AC;12;00013;Acrelândia;15721
AC;12;00054;Assis Brasil;7649
AC;12;00104;Brasiléia;27123
AC;12;00138;Bujari;10572
AC;12;00179;Capixaba;12280
AC;12;00203;Cruzeiro do Sul;89760
AC;12;00252;Epitaciolândia;18979
AC;12;00302;Feijó;34986
AC;12;00328;Jordão;8628
AC;12;00336;Mâncio Lima;19643
AC;12;00344;Manoel Urbano;9701
AC;12;00351;Marechal Thaumaturgo;19727
AC;12;00385;Plácido de Castro;20147
AC;12;00393;Porto Walter;12497
AC;12;00401;Rio Branco;419452
AC;12;00427;Rodrigues Alves;19767
AC;12;00435;Santa Rosa do Purus;6893
AC;12;00450;Senador Guiomard;23446
AC;12;00500;Sena Madureira;47168
AC;12;00609;Tarauacá;43730
AC;12;00708;Xapuri;19866
AC;12;00807;Porto Acre;19141
AM;13;00029;Alvarães;16396
AM;13;00060;Amaturá;11934
AM;13;00086;Anamã;14292
AM;13;00102;Anori;21937
AM;13;00144;Apuí;22739
AM;13;00201;Atalaia do Norte;20868
AM;13;00300;Autazes;41005
AM;13;00409;Barcelos;27772
AM;13;00508;Barreirinha;32919
AM;13;00607;Benjamin Constant;44873
AM;13;00631;Beruri;20503
AM;13;00680;Boa Vista do Ramos;20040
AM;13;00706;Boca do Acre;34958
AM;13;00805;Borba;42328
AM;13;00839;Caapiranga;13482
AM;13;00904;Canutama;15981
AM;13;01001;Carauari;28719
AM;13;01100;Careiro;38820
AM;13;01159;Careiro da Várzea;31459
AM;13;01209;Coari;86713
AM;13;01308;Codajás;29691
AM;13;01407;Eirunepé;36121
AM;13;01506;Envira;20748
AM;13;01605;Fonte Boa;16409
AM;13;01654;Guajará;17193
AM;13;01704;Humaitá;57195
AM;13;01803;Ipixuna;31172
AM;13;01852;Iranduba;49718
AM;13;01902;Itacoatiara;104046
AM;13;01951;Itamarati;7777
AM;13;02009;Itapiranga;9312
AM;13;02108;Japurá;1755
AM;13;02207;Juruá;15495
AM;13;02306;Jutaí;13462
AM;13;02405;Lábrea;47685
AM;13;02504;Manacapuru;99613
AM;13;02553;Manaquiri;33981
AM;13;02603;Manaus;2255903
AM;13;02702;Manicoré;57405
AM;13;02801;Maraã;18298
AM;13;02900;Maués;66159
AM;13;03007;Nhamundá;21710
AM;13;03106;Nova Olinda do Norte;38665
AM;13;03205;Novo Airão;20395
AM;13;03304;Novo Aripuanã;26443
AM;13;03403;Parintins;116439
AM;13;03502;Pauini;19616
AM;13;03536;Presidente Figueiredo;38095
AM;13;03569;Rio Preto da Eva;34856
AM;13;03601;Santa Isabel do Rio Negro;26566
AM;13;03700;Santo Antônio do Içá;20889
AM;13;03809;São Gabriel da Cachoeira;47031
AM;13;03908;São Paulo de Olivença;40837
AM;13;03957;São Sebastião do Uatumã;14678
AM;13;04005;Silves;9289
AM;13;04062;Tabatinga;68502
AM;13;04104;Tapauá;16876
AM;13;04203;Tefé;59250
AM;13;04237;Tonantins;19038
AM;13;04260;Uarini;13839
AM;13;04302;Urucará;16007
AM;13;04401;Urucurituba;24098
RR;14;00027;Amajari;13561
RR;14;00050;Alto Alegre;15249
RR;14;00100;Boa Vista;436591
RR;14;00159;Bonfim;12701
RR;14;00175;Cantá;19257
RR;14;00209;Caracaraí;22635
RR;14;00233;Caroebe;10595
RR;14;00282;Iracema;12637
RR;14;00308;Mucajaí;18482
RR;14;00407;Normandia;11772
RR;14;00456;Pacaraima;20108
RR;14;00472;Rorainópolis;31387
RR;14;00506;São João da Baliza;8492
RR;14;00605;São Luiz;8232
RR;14;00704;Uiramutã;11014
PA;15;00107;Abaetetuba;160439
PA;15;00131;Abel Figueiredo;7536
PA;15;00206;Acará;55744
PA;15;00305;Afuá;39910
PA;15;00347;Água Azul do Norte;27797
PA;15;00404;Alenquer;57390
PA;15;00503;Almeirim;34044
PA;15;00602;Altamira;117320
PA;15;00701;Anajás;30091
PA;15;00800;Ananindeua;540410
PA;15;00859;Anapu;29312
PA;15;00909;Augusto Corrêa;46937
PA;15;00958;Aurora do Pará;32200
PA;15;01006;Aveiro;16421
PA;15;01105;Bagre;31967
PA;15;01204;Baião;49454
PA;15;01253;Bannach;3239
PA;15;01303;Barcarena;129333
PA;15;01402;Belém;1506420
PA;15;01451;Belterra;17944
PA;15;01501;Benevides;64780
PA;15;01576;Bom Jesus do Tocantins;17254
PA;15;01600;Bonito;16769
PA;15;01709;Bragança;130122
PA;15;01725;Brasil Novo;14883
PA;15;01758;Brejo Grande do Araguaia;7357
PA;15;01782;Breu Branco;68597
PA;15;01808;Breves;104280
PA;15;01907;Bujaru;29717
PA;15;01956;Cachoeira do Piriá;35307
PA;15;02004;Cachoeira do Arari;24355
PA;15;02103;Cametá;140814
PA;15;02152;Canaã dos Carajás;39103
PA;15;02202;Capanema;69828
PA;15;02301;Capitão Poço;54545
PA;15;02400;Castanhal;205667
PA;15;02509;Chaves;24175
PA;15;02608;Colares;12175
PA;15;02707;Conceição do Araguaia;48115
PA;15;02756;Concórdia do Pará;34236
PA;15;02764;Cumaru do Norte;14044
PA;15;02772;Curionópolis;17764
PA;15;02806;Curralinho;35530
PA;15;02855;Curuá;14776
PA;15;02905;Curuçá;41093
PA;15;02939;Dom Eliseu;61206
PA;15;02954;Eldorado do Carajás;34069
PA;15;03002;Faro;6949
PA;15;03044;Floresta do Araguaia;20742
PA;15;03077;Garrafão do Norte;26155
PA;15;03093;Goianésia do Pará;41678
PA;15;03101;Gurupá;34127
PA;15;03200;Igarapé-Açu;39234
PA;15;03309;Igarapé-Miri;63367
PA;15;03408;Inhangapi;12009
PA;15;03457;Ipixuna do Pará;67170
PA;15;03507;Irituia;32639
PA;15;03606;Itaituba;101541
PA;15;03705;Itupiranga;53439
PA;15;03754;Jacareacanga;6952
PA;15;03804;Jacundá;60517
PA;15;03903;Juruti;59961
PA;15;04000;Limoeiro do Ajuru;29623
PA;15;04059;Mãe do Rio;30389
PA;15;04109;Magalhães Barata;8598
PA;15;04208;Marabá;287664
PA;15;04307;Maracanã;29559
PA;15;04406;Marapanim;28563
PA;15;04422;Marituba;135812
PA;15;04455;Medicilândia;32347
PA;15;04505;Melgaço;28121
PA;15;04604;Mocajuba;31917
PA;15;04703;Moju;84251
PA;15;04752;Mojuí dos Campos;16282
PA;15;04802;Monte Alegre;58289
PA;15;04901;Muaná;41454
PA;15;04950;Nova Esperança do Piriá;21519
PA;15;04976;Nova Ipixuna;17027
PA;15;05007;Nova Timboteua;15646
PA;15;05031;Novo Progresso;25769
PA;15;05064;Novo Repartimento;78488
PA;15;05106;Óbidos;52473
PA;15;05205;Oeiras do Pará;33182
PA;15;05304;Oriximiná;74921
PA;15;05403;Ourém;18079
PA;15;05437;Ourilândia do Norte;33831
PA;15;05486;Pacajá;49110
PA;15;05494;Palestina do Pará;7575
PA;15;05502;Paragominas;115838
PA;15;05536;Parauapebas;218787
PA;15;05551;Pau D'Arco;5339
PA;15;05601;Peixe-Boi;8084
PA;15;05635;Piçarra;12976
PA;15;05650;Placas;32325
PA;15;05700;Ponta de Pedras;32007
PA;15;05809;Portel;63831
PA;15;05908;Porto de Moz;42456
PA;15;06005;Prainha;29827
PA;15;06104;Primavera;10889
PA;15;06112;Quatipuru;13794
PA;15;06138;Redenção;86326
PA;15;06161;Rio Maria;18208
PA;15;06187;Rondon do Pará;53242
PA;15;06195;Rurópolis;52473
PA;15;06203;Salinópolis;41164
PA;15;06302;Salvaterra;24392
PA;15;06351;Santa Bárbara do Pará;21811
PA;15;06401;Santa Cruz do Arari;10496
PA;15;06500;Santa Izabel do Pará;72856
PA;15;06559;Santa Luzia do Pará;19839
PA;15;06583;Santa Maria das Barreiras;22244
PA;15;06609;Santa Maria do Pará;25127
PA;15;06708;Santana do Araguaia;75995
PA;15;06807;Santarém;308339
PA;15;06906;Santarém Novo;6796
PA;15;07003;Santo Antônio do Tauá;32346
PA;15;07102;São Caetano de Odivelas;18207
PA;15;07151;São Domingos do Araguaia;25945
PA;15;07201;São Domingos do Capim;32285
PA;15;07300;São Félix do Xingu;135732
PA;15;07409;São Francisco do Pará;15978
PA;15;07458;São Geraldo do Araguaia;24566
PA;15;07466;São João da Ponta;6294
PA;15;07474;São João de Pirabas;23440
PA;15;07508;São João do Araguaia;14105
PA;15;07607;São Miguel do Guamá;60268
PA;15;07706;São Sebastião da Boa Vista;27302
PA;15;07755;Sapucaia;6088
PA;15;07805;Senador José Porfírio;11305
PA;15;07904;Soure;25752
PA;15;07953;Tailândia;111554
PA;15;07961;Terra Alta;11971
PA;15;07979;Terra Santa;19063
PA;15;08001;Tomé-Açu;64604
PA;15;08035;Tracuateua;31549
PA;15;08050;Trairão;19344
PA;15;08084;Tucumã;40661
PA;15;08100;Tucuruí;116605
PA;15;08126;Ulianópolis;62286
PA;15;08159;Uruará;45395
PA;15;08209;Vigia;54650
PA;15;08308;Viseu;62093
PA;15;08357;Vitória do Xingu;15421
PA;15;08407;Xinguara;45416
AP;16;00055;Serra do Navio;5577
AP;16;00105;Amapá;9265
AP;16;00154;Pedra Branca do Amapari;17625
AP;16;00204;Calçoene;11493
AP;16;00212;Cutias;6217
AP;16;00238;Ferreira Gomes;8151
AP;16;00253;Itaubal;5730
AP;16;00279;Laranjal do Jari;52302
AP;16;00303;Macapá;522357
AP;16;00402;Mazagão;22468
AP;16;00501;Oiapoque;28534
AP;16;00535;Porto Grande;22927
AP;16;00550;Pracuúba;5370
AP;16;00600;Santana;124808
AP;16;00709;Tartarugalzinho;18217
AP;16;00808;Vitória do Jari;16572
TO;17;00251;Abreulândia;2609
TO;17;00301;Aguiarnópolis;7049
TO;17;00350;Aliança do Tocantins;5303
